manufacturer name,manufacturer_details
Trek,"Trek is a renowned bike manufacturer founded in 1976, known for its innovative designs and high-quality bicycles. With a strong commitment to sustainability and performance, Trek has become a leading brand in the cycling industry."
Gazelle,"Gazelle is a renowned Dutch bike manufacturer that was founded in 1892. They are known for their high-quality bicycles that combine style, comfort, and durability."
Fiido,Fiido is a renowned electric bike manufacturer founded in the year 2016. They are known for producing innovative and high-quality electric bicycles.
Zooom,Zooom is a renowned bike manufacturer that was founded in the year [insert founded year]. They are known for their innovative designs and high-quality bicycles.
Carrera bicycles,Carrera bicycles is a renowned bike manufacturer that was founded in 1988. They are known for their high-quality and innovative designs in the cycling industry.
Giant,Giant is a renowned bike manufacturer that was founded in 1972. They are known for their innovative designs and high-quality bicycles.
Bike Friday,Bike Friday is a renowned bicycle manufacturer that was founded in 1992. They specialize in creating custom folding bikes that are perfect for travel and commuting.
SMLRO,SMLRO is a renowned bike manufacturer that was founded in the year [insert founded year]. They are known for their high-quality and innovative bicycles.
Decathlon,"Decathlon is a renowned bike manufacturer founded in 1976, offering a wide range of high-quality bicycles for various sports and outdoor activities."
Jamis,"Jamis is a renowned bike manufacturer founded in 1979, known for producing high-quality bicycles for various riding disciplines."
Ecotric sportcool,Ecotric Sportcool is a renowned bike manufacturer that specializes in producing eco-friendly and stylish bicycles. The company was founded in the year [insert founded year].
Cannondale,"Cannondale is a renowned bike manufacturer founded in 1971, known for its innovative designs and high-performance bicycles."
Orange Bikes,"Orange Bikes is a renowned bike manufacturer founded in 1988, known for their high-quality and innovative designs."
Brompton Bicycle,Brompton Bicycle is a renowned bike manufacturer founded in 1975. They are known for their high-quality folding bikes that are popular among urban commuters.
Specialized,"Specialized is a renowned bike manufacturer founded in 1974, known for its innovative designs and high-performance bicycles."
Rad Power Bikes,"Rad Power Bikes is a leading electric bike manufacturer founded in 2007. They specialize in producing high-quality, affordable electric bikes for a wide range of riders."
Electric Bike Technologies,Electric Bike Technologies is a leading bike manufacturer founded in the year 2008. They specialize in producing high-quality electric bikes that are both eco-friendly and efficient.
Canyon bicycles,"Canyon Bicycles is a renowned bike manufacturer founded in 2002, known for their innovative designs and high-performance bicycles."
MATE.,"MATE is a bike manufacturer founded in 2016, known for their innovative and stylish electric bikes."
Orbea,"Orbea is a renowned bike manufacturer founded in 1840, known for its high-quality bicycles and innovative designs. With over 180 years of experience, Orbea continues to be a leading brand in the cycling industry."
Santa Cruz,"Santa Cruz is a renowned bike manufacturer founded in 1993, known for their high-quality and innovative mountain bikes."
Norco Bikes,Norco Bikes is a renowned bike manufacturer founded in 1964. They are known for their high-quality bicycles and innovative designs.
Huffy,Huffy is a renowned bicycle manufacturer that was founded in 1892. They have been producing high-quality bikes for over a century.
Planet X,Planet X is a renowned bike manufacturer that was founded in 1999. They are known for their high-quality and innovative bicycles.
Pendleton,Pendleton is a renowned bike manufacturer that was founded in the year 1971. They are known for their high-quality bicycles and innovative designs.
Whyte,"Whyte is a renowned bike manufacturer known for its innovative designs and high-quality craftsmanship. Founded in 1999, the company has been producing top-notch bicycles for over two decades."
Nakamura,Nakamura is a renowned bike manufacturer that was founded in the year [insert founded year]. They are known for their high-quality bicycles and innovative designs.
Raleigh,Raleigh is a renowned bike manufacturer that was founded in 1887. They have been producing high-quality bicycles for over a century.
"Guangzhou symbol bicycle co.,ltd","Guangzhou Symbol Bicycle Co., Ltd is a renowned bike manufacturer based in Guangzhou, China. Established in [insert founded year], the company has been producing high-quality bicycles for customers worldwide."
Btween,"Btween is a renowned bike manufacturer founded in 2015, specializing in producing high-quality bicycles for various terrains and riding styles."
Boardman Bikes,Boardman Bikes is a renowned bike manufacturer founded in 2007. They are known for their innovative designs and high-performance bicycles.
Gitane,Gitane is a renowned French bicycle manufacturer that was founded in 1930. They are known for producing high-quality bikes that combine style and performance.
Insync,Insync is a renowned bike manufacturer that was founded in the year [insert founded year]. They are known for their high-quality bicycles and innovative designs.
EzeGo,EzeGo is a renowned bike manufacturer that was founded in the year [insert founded year]. They are known for their innovative designs and high-quality bikes.
Cube,"Cube is a renowned bike manufacturer founded in 1993, known for its innovative designs and high-quality bicycles."
ALLEGRO,ALLEGRO is a renowned bike manufacturer that was founded in the year [insert founded year]. They are known for producing high-quality bicycles that cater to various cycling disciplines.
BMC,BMC is a renowned bike manufacturer that was founded in 1986. They are known for their high-quality bicycles and innovative designs.
Triban,Triban is a renowned bike manufacturer known for its high-quality bicycles. The company was founded in the year [insert founded year].
Apollo,Apollo is a renowned bike manufacturer that was founded in the year [insert founded year]. They are known for producing high-quality bicycles that cater to various cycling needs.
A dece oasis,A Dece Oasis is a renowned bike manufacturer founded in the year [insert founded year]. They are known for their high-quality bikes and innovative designs.
Kona,"Kona is a renowned bike manufacturer founded in 1988, known for producing high-quality bicycles for various disciplines such as mountain biking and road cycling."
Tern,"Tern is a renowned bicycle manufacturer founded in 2011, specializing in folding bikes that offer convenience and versatility."
Bianchi,"Bianchi is an Italian bicycle manufacturer founded in 1885, known for its high-quality and innovative designs."
Schwinn,Schwinn is a renowned bike manufacturer founded in 1895. They have been producing high-quality bicycles for over a century.
Next,"Next Bikes is a renowned bicycle manufacturer founded in 1994, known for their innovative designs and high-quality craftsmanship."
Lectric eBikes,Lectric eBikes is a leading bike manufacturer founded in the year [insert founded year]. They specialize in producing high-quality electric bikes that offer a seamless and eco-friendly riding experience.
Mongoose,Mongoose is a renowned bike manufacturer that was founded in 1974. They are known for producing high-quality bikes for various terrains and riding styles.
Royal Baby Global,Royal Baby is a global bike manufacturer that was founded in the year 2009. They are known for their high-quality bicycles that are loved by riders all around the world.
Aventón,Aventón is a renowned bike manufacturer that was founded in the year [insert founded year]. They are known for their high-quality and innovative bicycles.
Batch Bicycles,"Batch Bicycles is a renowned bike manufacturer founded in 2017, known for their high-quality and innovative designs."
Mossimo electric,Mossimo electric bike manufacturer was founded in the year [insert founded year]. They are known for producing high-quality electric bikes that are both stylish and eco-friendly.
Niner,"Niner is a renowned bike manufacturer founded in 2005, known for their high-quality mountain bikes and commitment to innovation."
Masi,"Masi is a renowned bike manufacturer known for its high-quality bicycles. Founded in 1953, Masi has been producing exceptional bikes for over six decades."
Fondriest,Fondriest is an Italian bike manufacturer that was founded in 1996. They are known for their high-quality road bikes and have gained a reputation for their attention to detail and craftsmanship.
Haro,"Haro is a renowned bike manufacturer that was founded in 1978. They are known for producing high-quality bikes for various disciplines, including BMX and mountain biking."
Electra,Electra is a renowned bike manufacturer that was founded in 1993. They are known for their stylish and comfortable bicycles.
Sailnovo,Sailnovo is a renowned bike manufacturer that was founded in the year [insert founded year]. They are known for their high-quality bikes and innovative designs.
Felt,"Felt is a renowned bike manufacturer founded in 1994, known for their high-quality and innovative designs. They have established themselves as a leading brand in the cycling industry."
Rockrider,Rockrider is a renowned bike manufacturer founded in the year [insert founded year]. They are known for producing high-quality and durable bikes for various terrains.
Fuji,Fuji is a renowned bike manufacturer that was founded in 1899. They are known for producing high-quality bicycles for various riding disciplines.
SCOTT,SCOTT is a renowned bike manufacturer founded in 1958. They are known for their innovative designs and high-quality bicycles.
Retrospec,Retrospec is a renowned bike manufacturer that was founded in the year 2009. They are known for their high-quality and stylish bicycles.
Other,
Gary Fisher,Gary Fisher is a renowned bike manufacturer that was founded in 1979. They are known for their innovative designs and high-quality bicycles.
Guerrilla Gravity,"Guerrilla Gravity is a renowned bike manufacturer founded in 2011, known for their innovative designs and high-performance mountain bikes."
Nishiki,Nishiki is a renowned bike manufacturer that was founded in 1965. They are known for producing high-quality bicycles that cater to various cycling disciplines.
Brodie,Brodie is a renowned bike manufacturer that was founded in 1986. They are known for their high-quality bicycles and innovative designs.
Redline,"Redline is a renowned bike manufacturer founded in 1974, known for producing high-quality bicycles for various disciplines."
Peugeot,Peugeot is a renowned French bike manufacturer that was founded in 1882. They have a rich history of producing high-quality bicycles for both leisure and professional use.
